id,case_number,notes,reported_date,does_reference_minors,is_in_reference_to_trafficking,location,keywords,number_of_calls,caller_proximity,victim_nationality,number_of_victims,location_type,trafficking_type,venue_or_industry_details,venue_or_industry,trafficking_type
500laureenbroadnay,424601,"**REASON AND CONTEXT FOR SIGNAL**\n\nA female caller, Laureen, contacted the National Human Trafficking hotline because she was worried about her friend, Natasha who had been living with her.\n\n### POTENTIAL VICTIM\n\n*   Natasha Ivaniv\n    *   32 year old female FN from Ukraine\n    *   She came to the US on a tourist visa which has since expired.\n\n### POTENTIAL TRAFFICKER\n\n*   Natasha's mother\n    *   Caller couldn't remember her name for sure but thought that it might be Aneta.\n\n### SITUATION INFORMATION\n\n*   The caller shared that about a year ago her Natasha reached out and told the caller she was coming to the United States.\n    *   The caller grew up with Natasha in the Ukraine and the caller said she was excited to reunite with her old friend.\n*   Shortly after Natasha arrived they saw each other frequently but after about a month Natasha kept insisting that she did not have time to hang out because she had to work.\n*   The caller said she initially thought it was strange since Natasha had come to the US on a tourist visa but she didn't get really concerned until about 3 months ago when Natasha asked her if she could stay with her for a while.\n    *   The caller said Natasha told her she needed a place to live because she did not have enough money for rent which the caller thought was strange since Natasha seems to always be working.\n    *   The caller said she knew that Natasha was an esthetician in the Ukraine and had started working at a local salon providing waxing services.\n*   Natasha said that last night Natasha finally had a night off so they two of them were drinking and catching up.\n    *   During their conversation Natasha starting crying and told Laureen that she was very tired and very worried about her daughter.\n    *   The caller said she didn't even know that Natasha had a daughter so she was completely shocked.\n*   Natasha then told Laureen that she had come to the US on a tourist visa and had left her daughter with her ex-boyfriend who is her daughter's father.\n*   Natasha told Laureen that a few months into her trip Natasha's mother called and said that her ex-boyfriend had asked her to babysit and never came back.\n    *   Natasha said this make her very nervous because her mother had been abusive toward her when she was a child.\n    *   Natasha said her mother demanded that Natasha send a large amount of money to her in order to care for her child or she said she would get her daughter taken away from her.\n        *   Natasha said she was very worried because her parents are important figureheads in the community and have always told people that Natasha was a bad mother even though she was doing her best.\n        *   She said she doubted anyone would believe that her mother was lying and that her daughter would be taken away from her.\n*   Laureen said Natasha told her that she was so worried that she sent a large amount of money to her mother and then did not have enough money to get home.\n*   Natasha said she was able to find a job at a local spa providing waxing services so that she could try to save money to go home.\n    *   Natasha said that when her mother found out she was working she started demanding that she send money back home more frequently.\n    *   The caller Natasha was exhausted because she had to start working multiple jobs as salons in town and she was sending so much money home she didn't even have enough money to pay rent.\n*   Laureen said she was very worried about Natasha and about Natasha's daughter.\n    *   The caller said Natasha doesn't want to talk about the situation now and only shared as much as she did because she was drinking.\n    *   The caller said that she didn't even know Laureen's daughter's name because she only referred to her by the nickname dócha, which the caller said means daughter.\n\n### SIGNALER\n\n*   Laureen Broadnay",2017-02-01,No,Yes,Ukraine,Visa,1,Victim Self-Report,Unknown,1,,Labor,,Other Small Business,Emerging Types
500codyquinton,424602,"### REASON AND CONTEXT FOR SIGNAL\n\nCody Quinton contacted the hotline to report that he was worried about an online relationship his daughter was in and he wanted to resources to talk with her about health relationships.\n\n### POTENTIAL VICTIM\n\n* Ellie Quinton\n    * DOB: 1/13/03\n\n### SITUATION INFORMATION\n\n* The caller shared that his daughter had met someone using an app on her phone called Kik.\n* Cody said that he had seen some of the messages she was sending to this boy.\n    * The caller said they were very sexual in nature and the boy she was chatting with used very graphic sexual language.\n    * Cody shared that he also saw that Ellie had sent some nude photographs of herself to this boy, Junior.\n* Cody said Junior told Ellie he was 15 but Cody is skeptical because anyone can lie about who they are online.\n\n### SIGNALER\n\n* Cody Quinton",2017-01-01,No,Yes,United States,No Applicable Keyword,1,Victim Self-Report,Unknown,1,,Sex,,Pornography,Pornography
500antoniopalomba,424603,"### REASON AND CONTEXT FOR SIGNAL\n\nAntonio Palomba contacted the NHTH from Dallas, TX to report potential sex trafficking of minor female FNs\n\n### POTENTIAL VICTIM\n\n* Approximately 4 adult females\n    * The woman all appear to be 12-15 years old\n    * They are all undocumented FNs from Latina America and only speak Spanish\n\n### POTENTIAL TRAFFICKER\n\n* Melissa, last name unknown.\n    * This may be a pseudonym.\n    * Adult female from Latina America who speaks Spanish and English, exact status in US is unknown\n    * She appears to be in her early 60s\n    * Caller believes she could be armed, but is unsure.\n\n### SUSPICIOUS BUSINESS\n\n* The potential trafficking is occurring at a home in San Antonio TX located at 3546 Lone Pine Road. The caller said the home is several stories and also has a storage shed in the back yard.  \n\n### SITUATION INFORMATION\n\n* The caller became aware of this residence through a friend of his who went there to purchase commercial sex.\n* Antonio said his friend was albe to speak directly with one of the PVs who shared more about her situation.\n    * The caller said his friend doesn't want to get involved because he is married and he doesn't want his wife to find out.\n* The caller said the PV told his friend that the females were brought to the United States by Melissa who brought them to the United States about 6 months ago.\n    * Melissa paid for their travel expenses, food, etc.\n* After the girls arrived, Melissa told them that they owed her money for the expenses and that they would have to engage in commercial sex to pay her back.\n    * The PV whom the caller's friend spoke with said that Melissa also changed the terms of their deal because when they first started working she told them they could buy themselves out by paying a certain amount, but that price later went up a lot and she wasn't able to afford it.\n* The PV also told the caller's friend that they had their passports taken and they were told they would be reported to immigration if they did not engage in commercial sex.\n* They were also told that they would be arrested and deported if they tried to leave the situation and seek help.\n* The caller said the PV also told his friend that they were living at the home where they engaged in commercial sex in a shed in the back yard.\n    * The caller said his friend said the shed is locked at night and there is a large privacy fence around the back yard.\n    * Sometimes if the girls misbehave they are not allowed to leave the shed and may not get to eat for several days at a time.\n    * The caller also said that the PTs do not have access to a phone and have been told they are not allowed to contact their families.\n* The caller said his friend told him the PV was very afraid of LE due to the messaging she had been given by the PT.\n* The caller said it was not clear from his conversation with his friend whether or not she wanted help leaving or what her exact wishes were.\n* The caller suspects that the girl trusted his friend because they are from the same small town in Mexico.\n* Antonio said that his friend also recently  went to a massage business in Dallas, TX  called Joy Spa and told him there were Latina females living and working there\n    * The caller did not mention the age of the females\n\n### SIGNALER\n\n* Antonio Polomba\n* Dallas, TX",2017-01-01,Yes,Yes,Unknown,No Applicable Keyword,1,Direct Contact with Potential Victim,Unknown,1,Residence,Sex,,Residential Brothel,Residential-Based Commercial Sex
500lucianahasselkus,424604,"**Type of Trafficking**:  Sex\n\n**Victim's Country of Origin:** -- \n\n**Total Number of Victims Described:**  1\n\n**Suspicious Red-Flag Website:** BustyBabesXXX.com/babyboyishotforrteacher/64523.\n\n**Location of Trafficking \(City, State\):** \n\n**Trafficker Contact Information/Location:**\n\n**Victim Demographics:** Males, Minors\n\n \n\nLooking at porn with my fiance last night and saw a video \(''Hot for Teacher''\) of an older woman having sex with a boy who looked very young. His name was Jeremy in the video but I doubt that's his real name. It looked like he was only 13 or 14 years old. We stopped watching it but didn't see a way to report on BustyBabes.",2015-03-01,Yes,Yes,United States,No Applicable Keyword,0,Observation of Suspicious Activity,Unknown,1,,Sex,,Pornography,Pornography
500mauritaalberson,424605,"**REASON AND CONTEXT FOR SIGNAL**\n\nA female caller contacted the national hotline from Miami, FL to report long hours and hard labor she was doing for a local natural foods grocery store.\n\n### SITUATION INFORMATION\n\n*   The caller, Maurita, said she moved to the US from Panama about 4 years ago after marrying her husband who was a US Citizen she met while he was vacationing in her country.\n*   The caller shared that when she first arrived she had a hard time finding a job because many people discriminated against her.\n    *   Her husband was very upset that she couldn't find work and so when she started working for **Veggies for All health food store** she was excited to finally have work.\n    *   She said the work was somewhat hard but that her boss was Panama too so she was happy to work for him.\n*   One day she hurt her back while moving heavy boxes of produce in the back of the store. She told her boss she wouldn't be able to work for a while and he became very upset.\n*   The caller said she tried to explain that she was injured but that he told her if she didn't keep working he was going to curse her family and bad things would happen to them if she went home.\n    *   The caller said this made her very afraid as she practices Santeria.\n    *   She said she has continued to work through her pain but it is getting worse and worse.\n    *   She said she is worried to report but she does not think she can continue to work.\n*   She has tried to hide everything from her husband because she does not want him to worry and sometimes makes fun of her religious beliefs.\n\n### SIGNALER\n\n*   Maurita Alberson",2016-03-01,No,Unknown,United States,No Applicable Keyword,1,Direct Contact with Potential Victim,Unknown,1,,Labor,,Restaurant/Food Service,Restaurants & Food Service
500vinasarra,424606,"### REASON AND CONTEXT FOR SIGNAL\n\nAdult PV called to report her employers for abuse.\n\n### POTENTIAL VICTIM\n\n* Vina Sarra\n\n### POTENTIAL TRAFFICKER\n\n* Billy Bob, last name unknown\n    * white male in his 40's\n\n### SUSPICIOUS BUSINESS\n\n* Gump Gulf Co.\n    * Delcambre, LA\n\n### SITUATION INFORMATION\n\n* Adult PV called to report her employers for abuse. She named that she works at a shrimp processing plant in Delcambre and her boss, Billy Bob, has not provided them the safety equipment they need\n    * Caller named that she is here on a bisa.\n    * She stated that some of her coworkers have visas and some are undocumented.\n* Caller stated that the employer only allows the female employees to work on the line and says it's because they arent smartenough to be floor managers\n* Caller named that she worked in a shrimp processing plant previously and was shocked that this facility did not have the proper safety gear she is accustomed to.\n    * Furthermore, she is afraid she might get hurt and not be able to afford to see a doctor.\n        * She shared that yesterday another worker collapsed from heat exhaustion\n            * They were taken to the ER; Vina doesn't know what happened to them\n            * ER\n    * Caller noted that workers frequently get moderate to severe steam burns as a result of the lax safety protocols\n        * Billy Bob tells the workers that they can leave if they have an issue with the work\n* Caller stated that she was told she was going to work 40 hours/week, but she is only given 25 hrs/week, most weeks\n    * Caller's schedule changes reequently  without notice. Sometimes she is told she has to leave in themiddle of a shift\n    * Gina hasn't talked to Billy bob but has talked with other workers, whi experience the same thing\n* She named that there are video cameras in the facility that monitor them and make sure they are working non-stop.\n* Vina said she was already reimburesed for her travel expenses, but she really wants to make some more money since her visa isn't valid with another employer in the states this sumer\n\n### SIGNALER\n\n* Vina Sarra",2017-01-01,No,Yes,United States,No Applicable Keyword,1,Victim Self-Report,Unknown,1,,Labor,,Other,Emerging Types
500arlettevelaquez,424607,"**REASON AND CONTEXT FOR SIGNAL**\n\nA female caller Arlette, contacted the National Hotline on behalf of a friend she had made online, Sophia Silva. Arlette said she lives in Portugal but her friend Sophia is from Brazil. They met online using a social media site and became close friends.\n\n\n\n### POTENTIAL VICTIM\n\n*   Sophoia Silva\n    *   23 yo femael FN from Brazil\n    *   Visa holder\n*   130 other FN working with Sophia . Some were from Brazil others were not\n\n### POTENTIAL TRAFFICKER\n\n*   Lucas Oliveira\n    *   Sophia's recruiter\n*   Chris Josephson\n    *   Sophia's boss\n\n### SUSPICIOUS BUSINESS\n\n*   Oranges Unlimited\n    *   Imokkalee, FL\n\n### SITUATION INFORMATION\n\n*   Arlette said she became friends with Sophia online and they had developed a close friendship by being pen pals of a sort using Facebook.\n*   The caller said that Sophia's family recently fell on hard times and she decided to go to the United States to work for the summer in order to help send her family some money.\n*   Sophia met with a recruiter in Sao Paolo who explained that by coming to the US to pick oranges she **could make a lot of money to send back to her family**.\n    *   Sophia paid the recruiter $200 to help her complete her aplication paperwork.\n    *   She also **borrowed $1,000 from a family frien**d so that she could get a plane ticket as she was **assured the orange farm she worked for would reimburse** her when she arrived.\n*   When Sophia arrived in Florida she met with the man who had spoken with her in Sao Paolo and he drove her to the farm.\n    *   The caller said when she and about 130 other people arrived at the farm the recruiter met with the supervisor and she thought she saw them shaking hands and maybe exchanging money.\n*   After the recruiter left Sophia was shown to her housing accommodations.\n    *   She messaged Arlette that she was very upset because she had to share a room with a number of men and there were only a few other women working with her.\n    *   Arlette said Sophia told her that made her scared.\n    *   Arlette encouraged Sophia to talk to her supervisor.\n    *   When she did he told her that she had better get used to it because she would be doing a lot of hard work around a lot of men and that she needed to stop complaining or she could just go home.\n*   Sophia told Arlette that after she began working she realized they were working far more hours that she originally thought.\n    *   She said that the recruiter told her that the contract said she would only work 40 hours a week but she wasn't sure because she didn't speak English and the contract was only in English.\n    *   Sophia said she was actually working from 5am to 9pm every day and they were not allowed to take any breaks except one 20 minute lunch break when the supervisor decided it was okay.\n*   Sophia told Arlette she had also been sexually harassed by many of the other workers at the farm.\n    *   Once a man groped and when she told the boss he told her that the men can't help notice how sexy she was.\n    *   Sophia told Arlette this made her very uncomfortable and she felt worried about the supervisor.\n*   Arlette asked Sophia if she could go home early but Sophia told her that she had still not been reimbursed for her travel even though she had been working for several months.\n*   Sophia also said her boss had taken her passport when she arrived and told her and the other workers they would get them back when they finished working for the summer.\n    *   Sophia once asked about getting it back earlier and the boss made a sexually suggestive comment about her earning it back that make Sophia not want to ask again.\n*   Sophia told Arlette she is very scared and wants to leave but she still owes her family friend the money she borrowed and she is not able to pay it back.\n\n### SIGNALER\n\n*   Arlette Vasquez",2016-01-01,No,Yes,Unknown,Visa,1,Victim Self-Report,Unknown,1,Farm,Labor,,Agriculture/Farms/Animal Husbandry,Agriculture & Animal Husbandry
500cheriseparrott,424608,"### **REASON AND CONTEXT FOR SIGNAL**\n\nA 32 year old USC Native American female caller from Wisconsin called for housing resources due to a situation with her landlord\n\n### POTENTIAL VICTIM\n\n*   Cherise Parrott, 32 years old, female USC\n    *   Milwaukee, WI\n    *   999-222-2222\n*   Dakota Smith\n    *   24 y/o white female\n*   Hannah Marshall\n    *   29 y/o white female\n*   Alexis Brown\n    *   21 y/o black female\n\n### POTENTIAL TRAFFICKER\n\n*   Donald Franklin\n    *   Older white male\n    *   414-666-6164\n\n### ADDRESS\n\n*   3338 W Burleigh St, Milwaukee, WI 53210\n*   \n\n\n\n### SITUATION INFORMATION\n\n*   A 32 year old USC Native American female caller from Wisconsin called for housing resources due to a situation with her landlord.\n*   She explained that a few months ago she left her abusive husband and moved to Milwaukee, WI.\n    *   She added that her 8-year-old daughter was still with her ex-husband but that he had never been abusive towards their child and she was not concerned for her well-being.\n*   Caller explained that she left her husband in a hurry did not have much money.\n    *   She indicated that she had some cash but was afraid to use her credit cards, which she shared with her husband, because she did not want him to find her.\n*   Caller explained that she found an apartment listed on Craigslist in Milwaukee that she could afford.\n*   She said that she shared the one bedroom apartment, which had fallen into disrepair, with three other women.\n*   Recently, the caller asked the landlord to call a plumber when a toilet got clogged.\n    *   Caller noted that the landlord expressed frustration with the tenants and yelled at them for causing him trouble.\n    *   He told the caller that they needed to pay him an extra $1000\.\n    *   Caller said that their landlord said he had installed a video camera in their shower and was planning on selling the videos online if they don't pay him what he said they owed him.\n*   Caller asked for housing resources and wanted to report the situation.\n\n### SIGNALER\n\n*   Cherise Parrott\n*   Milwaukee, WI\n*   999-222-2222",2016-01-01,No,Yes,Unknown,No Applicable Keyword,1,Victim Self-Report,Unknown,1,,Sex,,Not Specified,No Type
500donnettearnott,424575,"### **REASON AND CONTEXT FOR SIGNAL**\n\nDonnette Arnott contacted the NHTH from Silver Spring, MD to report a concerning work situation. She said she made friends with a woman who works in the home next door to where she lives and she is worried about the who works there.\n\n### POTENTIAL VICTIM\n\n*   Amihan Santos\n    *   64 yo female FN from the Philippines\n    *   She lives with the PTs\n\n### POTENTIAL TRAFFICKER\n\n*   John and Mahalia Bautista\n    *   Caller said they are her next door neighbors and live at 6871 Spring Lake Road, Silver Spring, MD.\n\n### SITUATION INFORMATION\n\n*   The caller said she retired last year and started spending more time working in her garden this summer. From spending time at home during the hours, Donnette started to get to know the woman who works for her next door neighbors, Amihan.\n*   The caller said Amihan told her she has been working in the home for about 6 years which was shocking to Donnette since she had never seen Amihan before this summer.\n*   Donnette said that slowly their friendship grew and one day Amihan asked if Donnette had any food she could share.\n    *   Amihan inquired if everything was okay and Amihan shared that Mahalia doesn't like for her to have food in the house and that she is really only able to eat the scraps left when the children are finished eating.\n    *   Donnette said this made her very worried but Donnette started bringing Amihan food in the afternoons while the children were napping.\n*   Amihan told Donnette she provides **care for the Bautista's three children** who are 7, 3, and 1 years old.\n*   She is on call at all hours of the night and is expected to do all of th**e laundry, cooking, and cleaning for the family.**\n*   Amihan told Donette that she came to the United States with the Bautistas.\n    *   Donnette explained that they are **local diplomats a**nd she has even been invited to their home for dinner in the past and never realized Amihan was living there.\n*   Donnette explained that she also doesn't know where Amihan would be staying because she is familiar with the home from when her previous neighbors were living there and there is only a master bedroom and two other bedrooms.\n    *   Amihan told her she sleeps near the baby's room, but the nursery only has a small nook off to the side but it has no privacy and would not even be large enough for a bed.\n*   Donnette also said Amihan is very nervous about staying at Donnette's for too long each day because John and Mahalia do not like for her to talk with others or to leave the house at all.\n*   Donnette offered to take Amihan to the grocery story but Amihan said she couldn't leave and she didn't have a way to pay for her groceries anyway because the money she is making working here goes into an account that is monitored by the Bautista's.\n    *   Donnette asked some questions about this bank account, but Amihan said she knows very little about it, but John told her all her money is going there and she can get it for her family when she goes home.\n    *   She said she asked about it once but John yelled at her a lot and told her she should appreciate that they give her a home and good work in America.\n*   Donnette is very worried about Amihan. She said John and Mahalia are very friendly and she is surprised to hear about the ways they treat Amihan but she doesn't know what to do.\n\n### SIGNALER\n\n*   Donnette Arnott",2016-01-01,Yes,Yes,United States,No Applicable Keyword,1,Direct Contact with Potential Victim,Unknown,1,Residence,Labor,,Domestic Work,Domestic Work
500jeredullum,424576,"### REASON AND CONTEXT FOR SIGNAL\n\nAdult male truck driver contacted the hotline from Chouteau, OK to report a possible solicitation of commercial sex which may have possibly been trafficking.\n\n### POTENTIAL VICTIM\n\n* Unknown\n    * African American female with light skin\n    * Wearing heels and a tight skirt\n    * Seemed like she could have been in hear mid to early teens\n        * Caller wasn't sure if she was an adult or minor\n    * Had a tattoo on the back of her left shoulder that said Property of Blizzard\n\n### POTENTIAL TRAFFICKER\n\n* Unknown\n    * African American male\n    * Between 19  and 23\n    * Heavy build\n    * ''CRIPS'' tattooed above left eyebrow\n    * Standing at the entrance to the truck top next to a blue Ford (OK plate \# H0T-BL1Z)\n        * Seemed like he was trying to be discreet but it seemed clear he was watching them\n        * Caller later saw PV received a phone call and the man was making a call at the exact same time\n\n### SUSPICIOUS BUSINESS\n\n* Love's Truck Stop\n* Chouteau, OK\n\n### SITUATION INFORMATION\n\n* Caller explained to HA that he drives commercially all over the US.\n* Caller said that he was staying the night at Love's tonight when the PV came to his window.\n    * She told him her name was Keisha and she wanted to know if she could keep him company for a little while.\n    * The caller said he was concerned because it seemed a little chilly for the clothes she was wearing and he saw Keisha walking from truck to truck.\n\n* The caller said he talked to Keisha for a minute and asked if she was okay or if she needed anything.\n* The caller said before Keisha could answer she got a call on her phone.\n    * The caller said she answered and he heard her refer to the caller as Blizzard.\n    * The caller could not provide details about what happened while Keisha was on the phone but after hanging up she said she really needed to get some money and asked if the caller could give her any.\n* The caller declined and Keisha walked to another truck.\n\n### SIGNALER\n\nJere Dullum",2015-01-01,Yes,Yes,United States,No Applicable Keyword,1,Observation of Suspicious Activity,Unknown,1,Truck Stop,Sex,,Truck Stop,Outdoor Solicitation
